,MES,DEPARTAMENTO,CLASE DE SITIO,INCAUTACIONES_POR_SITIO
0,Apr,AMAZONAS,ZONA SELVÁTICA,2
1,Apr,ANTIOQUIA,LABORATORIO DE BASE,5
2,Apr,ARAUCA,VIAS PUBLICAS,2
3,Apr,ATLÁNTICO,PUERTO,1
4,Apr,BOLÍVAR,CASAS DE HABITACION,3
5,Apr,BOLÍVAR,VIAS PUBLICAS,16
6,Apr,CALDAS,CASAS DE HABITACION,2
7,Apr,CAUCA,LABORATORIO DE BASE,2
8,Apr,CUNDINAMARCA,VIAS PUBLICAS,1
9,Apr,GUAINÍA,BOSQUES,2
10,Apr,GUAJIRA,ALTAMAR,1
11,Apr,GUAJIRA,CASAS DE HABITACION,7
12,Apr,MAGDALENA,VIAS PUBLICAS,16
13,Apr,NARIÑO,PUESTO DE CONTROL,1
14,Apr,PUTUMAYO,LABORATORIO DE BASE,13
15,Apr,PUTUMAYO,LABORATORIO DE CRISTALIZACION,1
16,Apr,QUINDÍO,TRAMO DE VIA,5
17,Apr,RISARALDA,CARRETERA,12
18,Apr,SANTANDER,TRAMO DE VIA,6
19,Apr,SANTANDER,VIAS PUBLICAS,29
20,Apr,SUCRE,PARQUEADERO,1
21,Apr,TOLIMA,CARRETERA,3
22,Apr,VALLE,PUERTO,4
23,Feb,ANTIOQUIA,VIAS PUBLICAS,835
24,Feb,ARAUCA,VIAS PUBLICAS,2
25,Feb,ATLÁNTICO,VIAS PUBLICAS,60
26,Feb,CAQUETÁ,VIAS PUBLICAS,2
27,Feb,CASANARE,VIAS PUBLICAS,18
28,Feb,CAUCA,CARRETERA,2
29,Feb,CUNDINAMARCA,OFICINAS,1
30,Feb,CUNDINAMARCA,VIAS PUBLICAS,379
31,Feb,CÓRDOBA,LABORATORIO DE BASE,1
32,Feb,GUAINÍA,PARQUES,1
33,Feb,GUAVIARE,LABORATORIO DE BASE,3
34,Feb,META,CASAS DE HABITACION,3
35,Feb,META,LABORATORIO DE BASE,4
36,Feb,META,TRAMO DE VIA,1
37,Feb,NARIÑO,PUESTO DE CONTROL,6
38,Feb,NORTE DE SANTANDER,CARRETERA,7
39,Feb,PUTUMAYO,LOTE BALDIO,1
40,Feb,QUINDÍO,TRAMO DE VIA,1
41,Feb,SAN ANDRÉS,AEROPUERTO,3
42,Feb,SAN ANDRÉS,VIAS PUBLICAS,1
43,Feb,VALLE,VIAS PUBLICAS,11
44,Feb,VICHADA,VIAS PUBLICAS,3
45,Jan,ATLÁNTICO,VIAS PUBLICAS,2
46,Jan,BOYACÁ,TRAMO DE VIA,1
47,Jan,CASANARE,LABORATORIO DE CRISTALIZACION,1
48,Jan,CESAR,CARRETERA,3
49,Jan,CESAR,FINCAS Y SIMILARES,1
50,Jan,CHOCÓ,ALTAMAR,1
51,Jan,CHOCÓ,VIAS PUBLICAS,4
52,Jan,CHOCÓ,ZONA SELVÁTICA,2
53,Jan,GUAJIRA,ALTAMAR,3
54,Jan,GUAJIRA,TRAMO DE VIA,1
55,Jan,HUILA,VIAS PUBLICAS,50
56,Jan,MAGDALENA,TRAMO DE VIA,1
57,Jan,NARIÑO,ALTAMAR,10
58,Jan,PUTUMAYO,VIAS PUBLICAS,8
59,Jan,QUINDÍO,TRAMO DE VIA,8
60,Jan,RISARALDA,EMPRESA,2
61,Jan,SUCRE,VIAS PUBLICAS,15
62,Jun,AMAZONAS,AEROPUERTO,1
63,Jun,ARAUCA,VIAS PUBLICAS,7
64,Jun,BOLÍVAR,VIAS PUBLICAS,41
65,Jun,BOYACÁ,TRAMO DE VIA,8
66,Jun,CALDAS,TALLERES MECANICA,1
67,Jun,CAQUETÁ,VIAS PUBLICAS,7
68,Jun,CAUCA,VIAS PUBLICAS,35
69,Jun,GUAINÍA,CASAS DE HABITACION,1
70,Jun,GUAJIRA,VIAS PUBLICAS,4
71,Jun,GUAVIARE,VIAS PUBLICAS,1
72,Jun,HUILA,TRAMO DE VIA,2
73,Jun,MAGDALENA,CONSTRUCCION,1
74,Jun,NORTE DE SANTANDER,VIAS PUBLICAS,9
75,Jun,RISARALDA,PUESTO DE CONTROL,1
76,Jun,SAN ANDRÉS,PUERTO,1
77,Jun,SAN ANDRÉS,VIAS PUBLICAS,1
78,Jun,SANTANDER,CARRETERA,3
79,Jun,SUCRE,VIAS PUBLICAS,11
80,Jun,TOLIMA,CARRETERA,6
81,Jun,VALLE,VIAS PUBLICAS,92
82,Jun,VAUPÉS,BODEGAS Y SIMILARES,1
83,Jun,VAUPÉS,VIAS PUBLICAS,1
84,Mar,AMAZONAS,RIOS,5
85,Mar,ANTIOQUIA,MUELLE,1
86,Mar,ARAUCA,VIAS PUBLICAS,1
87,Mar,ATLÁNTICO,VIAS PUBLICAS,54
88,Mar,BOLÍVAR,CARRETERA,1
89,Mar,BOYACÁ,CASAS DE HABITACION,1
90,Mar,CALDAS,CARRETERA,1
91,Mar,CAQUETÁ,PUESTO DE CONTROL,2
92,Mar,CASANARE,VIAS PUBLICAS,3
93,Mar,CAUCA,LABORATORIO DE CRISTALIZACION,2
94,Mar,CAUCA,PEAJE,1
95,Mar,CESAR,CARRETERA,6
96,Mar,CÓRDOBA,TRAMO DE VIA,2
97,Mar,GUAINÍA,VIAS PUBLICAS,1
98,Mar,GUAVIARE,PUESTO DE CONTROL,1
99,Mar,GUAVIARE,VIAS PUBLICAS,7
100,Mar,HUILA,TRAMO DE VIA,2
101,Mar,MAGDALENA,CARRETERA,2
102,Mar,META,LABORATORIO DE CRISTALIZACION,2
103,Mar,NARIÑO,LABORATORIO DE CRISTALIZACION,1
104,Mar,NORTE DE SANTANDER,LABORATORIO DE CRISTALIZACION,5
105,Mar,NORTE DE SANTANDER,ZONA SELVÁTICA,1
106,Mar,SANTANDER,CARRETERA,3
107,Mar,TOLIMA,CARRETERA,4
108,Mar,TOLIMA,VIAS PUBLICAS,37
