DEPARTAMENTO,CLASE DE ESTUPEFACIENTE,CLASE DE SITIO,MES,CANTIDAD,NUMERO DE INCAUTACIONES
AMAZONAS,BASE DE COCA,AEROPUERTO,Jun,20855,1
AMAZONAS,BASUCO,RIOS,Mar,7300,2
AMAZONAS,COCAINA,RIOS,Mar,429320,3
AMAZONAS,MARIHUANA,ZONA SELVÁTICA,Apr,1153640,2
ANTIOQUIA,BASE DE COCA,LABORATORIO DE BASE,Apr,402382,5
ANTIOQUIA,BASUCO,VIAS PUBLICAS,Feb,23034,835
ANTIOQUIA,COCAINA,MUELLE,Mar,5300240,1
ANTIOQUIA,HEROINA,AEROPUERTO,May,1600,1
ANTIOQUIA,MARIHUANA,TRAMO DE VIA,May,3012625,15
ARAUCA,BASE DE COCA,VIAS PUBLICAS,Apr,35,2
ARAUCA,BASUCO,VIAS PUBLICAS,Mar,110,1
ARAUCA,COCAINA,VIAS PUBLICAS,Feb,219,2
ARAUCA,HEROINA,VIAS PUBLICAS,May,6,2
ARAUCA,MARIHUANA,VIAS PUBLICAS,Jun,14253,7
ATLÁNTICO,BASE DE COCA,VIAS PUBLICAS,Feb,18107,60
ATLÁNTICO,BASUCO,VIAS PUBLICAS,Mar,9619,22
ATLÁNTICO,COCAINA,PUERTO,Apr,704270,1
ATLÁNTICO,HEROINA,VIAS PUBLICAS,Jan,255,2
ATLÁNTICO,MARIHUANA,VIAS PUBLICAS,Mar,32910,32
BOLÍVAR,BASE DE COCA,VIAS PUBLICAS,Jun,329656,41
BOLÍVAR,BASUCO,CASAS DE HABITACION,Apr,3135,3
BOLÍVAR,COCAINA,VIAS PUBLICAS,Apr,2250125,16
BOLÍVAR,MARIHUANA,CARRETERA,Mar,81700,1
BOYACÁ,BASE DE COCA,TRAMO DE VIA,Jun,6942,2
BOYACÁ,BASUCO,CASAS DE HABITACION,Mar,1501,1
BOYACÁ,COCAINA,TRAMO DE VIA,Jan,1567,1
BOYACÁ,MARIHUANA,TRAMO DE VIA,Jun,427467,6
CALDAS,BASE DE COCA,CASAS DE HABITACION,Apr,4758,2
CALDAS,BASUCO,VIAS PUBLICAS,May,12819,81
CALDAS,COCAINA,TALLERES MECANICA,Jun,100000,1
CALDAS,HEROINA,CARRETERA,Mar,322,1
CALDAS,MARIHUANA,CARRETERA,May,419545,6
CAQUETÁ,BASE DE COCA,VIAS PUBLICAS,Feb,149111,2
CAQUETÁ,BASUCO,VIAS PUBLICAS,Jun,3242,2
CAQUETÁ,COCAINA,VIAS PUBLICAS,Jun,93127,5
CAQUETÁ,MARIHUANA,PUESTO DE CONTROL,Mar,1434122,2
CASANARE,BASE DE COCA,VIAS PUBLICAS,Feb,1104,3
CASANARE,BASUCO,VIAS PUBLICAS,Mar,423,3
CASANARE,COCAINA,LABORATORIO DE CRISTALIZACION,Jan,590310,1
CASANARE,MARIHUANA,VIAS PUBLICAS,Feb,86795,15
CAUCA,BASE DE COCA,LABORATORIO DE BASE,Apr,316596,2
CAUCA,BASUCO,CARRETERA,Feb,10072,2
